Homology group id,Class,Genome 1,Genome 2,Genome 3,Genome 4,Genome 5,Genome 6,Genome 7,Genome 8,Genome 9
2031299,accessory,1,0,0,0,1,0,0,0,0
2031300,accessory,1,0,0,0,1,0,0,0,0
2031301,accessory,1,0,0,0,1,0,0,0,0
2031302,accessory,1,0,0,0,1,0,0,0,0
2031303,accessory,1,0,0,0,1,0,0,0,0
2031304,accessory,1,0,0,0,1,0,0,0,0
2031305,accessory,1,0,0,0,1,0,0,0,0
2031306,accessory,1,0,0,0,1,0,0,0,0
2031307,accessory,1,0,0,0,1,0,0,0,0
2031308,accessory,1,0,0,0,1,0,0,0,0
2031309,accessory,1,0,0,0,1,0,0,0,0
2031310,accessory,1,0,0,0,1,0,0,0,0
2031311,accessory,1,0,0,0,1,0,0,0,0
2031312,accessory,1,0,0,0,1,0,0,0,0
2031313,accessory,1,0,0,0,1,0,0,0,0
2031314,accessory,1,0,0,0,1,0,0,0,0
2031315,accessory,1,0,0,0,1,0,0,0,0
2031316,accessory,1,0,0,0,1,0,0,0,0
2031317,accessory,1,0,0,0,1,0,0,0,0
2031319,accessory,1,0,0,0,1,0,0,0,0
2031320,accessory,1,0,0,0,1,0,0,0,0
2031321,accessory,1,0,0,0,1,0,0,0,0
2031322,accessory,1,0,0,0,1,0,0,0,0
2031323,accessory,1,0,0,0,1,0,0,0,0
2031324,accessory,1,0,0,0,1,0,0,0,0
2031325,accessory,1,0,0,0,1,0,0,0,0
2031326,accessory,1,0,0,0,1,0,0,0,0
2031327,accessory,1,0,0,0,1,0,0,0,0
2031328,accessory,1,0,0,0,1,0,0,0,0
2031329,accessory,1,0,0,0,1,0,0,0,0
2031330,accessory,1,0,0,0,1,0,0,0,0
2031331,accessory,1,0,0,0,1,0,0,0,0
2031332,accessory,1,0,0,0,1,0,0,0,0
2031333,accessory,1,0,0,0,1,0,0,0,0
2031334,accessory,1,0,0,0,1,0,0,0,0
2031335,accessory,1,0,0,0,1,0,0,0,0
2031336,accessory,1,0,0,0,1,0,0,0,0
2031337,accessory,1,0,0,0,1,0,0,0,0
2031338,accessory,1,0,0,0,1,0,0,0,0
2031339,accessory,1,0,0,0,1,0,0,0,0
2031340,accessory,1,0,0,0,1,0,0,0,0
2031341,accessory,1,0,0,0,1,0,0,0,0
2031342,accessory,1,0,0,0,1,0,0,0,0
2031343,accessory,1,0,0,0,1,0,0,0,0
2031344,accessory,1,0,0,0,1,0,0,0,0
2031345,accessory,1,0,0,0,1,0,0,0,0
2031346,accessory,1,0,0,0,1,0,0,0,0
2031347,accessory,1,0,0,0,1,0,0,0,0
2031348,accessory,1,0,0,0,1,0,0,0,0
2031349,accessory,1,0,0,0,1,0,0,0,0
2031350,accessory,1,0,0,0,1,0,0,0,0
2031351,accessory,1,0,0,0,1,0,0,0,0
2031352,accessory,1,0,0,0,1,0,0,0,0
2031355,accessory,1,0,0,0,1,0,0,0,0
2031357,accessory,1,0,0,0,1,0,0,0,0
2031358,accessory,1,0,0,0,1,0,0,0,0
2031359,accessory,1,0,0,0,1,0,0,0,0
2031361,accessory,1,0,0,0,1,0,0,0,0
2031362,accessory,1,0,0,0,1,0,0,0,0
2031363,accessory,1,0,0,0,1,0,0,0,0
2031366,accessory,1,0,0,0,1,0,0,0,0
2031367,accessory,1,0,0,0,1,0,0,0,0
2031372,accessory,3,0,0,0,6,0,0,0,0
2031373,accessory,4,0,0,0,1,0,0,0,0
2031374,accessory,3,0,0,0,3,0,0,0,0
2031375,accessory,3,0,0,0,3,0,0,0,0
2031376,accessory,3,0,0,0,1,0,0,0,0
2031377,accessory,1,0,0,0,3,0,0,0,0
2031378,accessory,1,0,0,0,1,0,0,0,0
2031379,accessory,1,0,0,0,1,0,0,0,0
2031380,accessory,1,0,0,0,1,0,0,0,0
2031381,accessory,1,0,0,0,1,0,0,0,0
2031382,accessory,1,0,0,0,1,0,0,0,0
2031383,accessory,1,0,0,0,1,0,0,0,0
2031384,accessory,1,0,0,0,1,0,0,0,0
2031385,accessory,1,0,0,0,1,0,0,0,0
2031386,accessory,1,0,0,0,1,0,0,0,0
2031387,accessory,1,0,0,0,1,0,0,0,0
2031388,accessory,1,0,0,0,1,0,0,0,0
2031389,accessory,1,0,0,0,1,0,0,0,0
2031393,accessory,1,0,0,0,1,0,0,0,0
2031394,accessory,1,0,0,0,1,0,0,0,0
2031395,accessory,1,0,0,0,1,0,0,0,0
2031396,accessory,1,0,0,0,1,0,0,0,0
2031397,accessory,1,0,0,0,1,0,0,0,0
2031398,accessory,1,0,0,0,1,0,0,0,0
2031399,accessory,1,0,0,0,1,0,0,0,0
2031400,accessory,1,0,0,0,1,0,0,0,0
2031401,accessory,1,0,0,0,1,0,0,0,0
2031402,accessory,1,0,0,0,1,0,0,0,0
2031403,accessory,1,0,0,0,1,0,0,0,0
2031404,accessory,1,0,0,0,1,0,0,0,0
2031405,accessory,1,0,0,0,1,0,0,0,0
2031406,accessory,1,0,0,0,1,0,0,0,0
2031407,accessory,1,0,0,0,1,0,0,0,0
2031408,accessory,1,0,0,0,1,0,0,0,0
2031409,accessory,1,0,0,0,1,0,0,0,0
2031410,accessory,1,0,0,0,1,0,0,0,0
2031411,accessory,1,0,0,0,1,0,0,0,0
2031412,accessory,1,0,0,0,1,0,0,0,0
2031413,accessory,1,0,0,0,1,0,0,0,0
2031415,accessory,1,0,0,0,1,0,0,0,0
2031416,accessory,1,0,0,0,1,0,0,0,0
2031419,accessory,1,0,0,0,1,0,0,0,0
2031420,accessory,1,0,0,0,1,0,0,0,0
2031421,accessory,1,0,0,0,1,0,0,0,0
2031422,accessory,1,0,0,0,1,0,0,0,0
2031424,accessory,1,0,0,0,1,0,0,0,0
2031425,accessory,1,0,0,0,1,0,0,0,0
2031426,accessory,1,0,0,0,1,0,0,0,0
2031427,accessory,2,0,0,0,1,0,0,0,0
2031428,accessory,1,0,0,0,1,0,0,0,0
2031429,accessory,1,0,0,0,1,0,0,0,0
2031430,accessory,1,0,0,0,1,0,0,0,0
2031431,accessory,1,0,0,0,1,0,0,0,0
2031432,accessory,1,0,0,0,1,0,0,0,0
2031433,accessory,1,0,0,0,1,0,0,0,0
2031434,accessory,1,0,0,0,1,0,0,0,0
2031435,accessory,1,0,0,0,1,0,0,0,0
2031436,accessory,1,0,0,0,1,0,0,0,0
2031437,accessory,1,0,0,0,1,0,0,0,0
2031438,accessory,1,0,0,0,1,0,0,0,0
2031439,accessory,1,0,0,0,1,0,0,0,0
2031440,accessory,1,0,0,0,1,0,0,0,0
2031441,accessory,1,0,0,0,1,0,0,0,0
2031443,accessory,1,0,0,0,1,0,0,0,0
2031444,accessory,1,0,0,0,1,0,0,0,0
2031445,accessory,1,0,0,0,1,0,0,0,0
2031446,accessory,1,0,0,0,1,0,0,0,0
2031447,accessory,1,0,0,0,1,0,0,0,0
2031448,accessory,1,0,0,0,1,0,0,0,0
2031449,accessory,1,0,0,0,1,0,0,0,0
2031450,accessory,1,0,0,0,1,0,0,0,0
2031451,accessory,1,0,0,0,1,0,0,0,0
2031452,accessory,1,0,0,0,1,0,0,0,0
2031453,accessory,1,0,0,0,1,0,0,0,0
2031454,accessory,1,0,0,0,1,0,0,0,0
2031455,accessory,1,0,0,0,1,0,0,0,0
2031456,accessory,1,0,0,0,1,0,0,0,0
2031457,accessory,1,0,0,0,1,0,0,0,0
2031458,accessory,1,0,0,0,1,0,0,0,0
2031459,accessory,1,0,0,0,1,0,0,0,0
2031460,accessory,1,0,0,0,1,0,0,0,0
2031461,accessory,1,0,0,0,1,0,0,0,0
2031462,accessory,1,0,0,0,1,0,0,0,0
2031464,accessory,1,0,0,0,1,0,0,0,0
2031465,accessory,1,0,0,0,1,0,0,0,0
2031466,accessory,1,1,1,0,1,1,1,1,1
2031467,accessory,1,0,0,0,1,0,0,0,0
2031468,accessory,1,0,0,0,1,0,0,0,0
2031469,accessory,1,0,0,0,1,0,0,0,0
2031470,accessory,1,0,0,0,1,0,0,0,0
2031471,accessory,1,0,0,0,1,0,0,0,0
2031472,accessory,1,0,0,0,1,0,0,0,0
2031473,accessory,1,0,0,0,1,0,0,0,0
2031474,accessory,1,0,0,0,1,0,0,0,0
2031475,accessory,1,0,0,0,1,0,0,0,0
2031476,accessory,1,0,0,0,1,0,0,0,0
2031477,accessory,1,0,0,0,1,0,0,0,0
2031478,accessory,1,0,0,0,1,0,0,0,0
2031479,accessory,1,0,0,0,1,0,0,0,0
2031480,accessory,1,0,0,0,1,0,0,0,0
2031481,accessory,1,0,0,0,1,0,0,0,0
2031482,accessory,1,0,0,0,1,0,0,0,0
2031484,accessory,1,0,0,0,1,0,0,0,0
2031485,accessory,1,0,0,0,1,0,0,0,0
2031486,accessory,1,0,0,0,1,0,0,0,0
2031487,accessory,1,0,0,0,1,0,0,0,0
2031488,accessory,1,0,0,0,1,0,0,0,0
2031490,accessory,1,0,0,0,1,0,0,0,0
2031491,accessory,1,0,0,0,1,0,0,0,0
2031492,accessory,1,0,0,0,1,0,0,0,0
2031493,accessory,1,0,0,0,1,0,0,0,0
2031496,accessory,1,0,0,0,1,0,0,0,0
2031497,accessory,1,0,0,0,1,0,0,0,0
2031498,accessory,1,0,0,0,1,0,0,0,0
2031499,accessory,1,0,0,0,1,0,0,0,0
2031500,accessory,1,0,0,0,1,0,0,0,0
2031501,accessory,1,0,0,0,1,0,0,0,0
2031502,accessory,1,0,0,0,1,0,0,0,0
2031504,accessory,1,0,0,0,1,0,0,0,0
